BuildingType	PrimaryPropertyType	Agebuilding	NumberofBuildings	NumberofFloors	PropertyGFAParking	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEnergyUse(kBtu)	GHGEmissions(MetricTonsCO2e)	Latitude	Longitude
SPS-District K-12	K-12 School	52	1.0	1.0	0	K-12 School	139069.0	K-12 School	0.0	0.0	77.0	4998015.0	177.1	47.54806021	-122.3620019
NonResidential	Non-Refrigerated Warehouse	111	1.0	4.0	0	Non-Refrigerated Warehouse	114297.0	Non-Refrigerated Warehouse	0.0	0.0	67.0	1738724.0	52.94	47.54941628	-122.3160421
SPS-District K-12	K-12 School	55	1.0	2.0	0	K-12 School	184125.0	K-12 School	0.0	0.0	89.0	8037287.0	294.12	47.52383423	-122.2660141
SPS-District K-12	K-12 School	56	1.0	1.0	0	K-12 School	160270.0	K-12 School	0.0	0.0	79.0	5674450.0	212.02	47.69689628	-122.3778526
NonResidential	Non-Refrigerated Warehouse	78	1.0	1.0	0	Non-Refrigerated Warehouse	234144.0	Non-Refrigerated Warehouse	0.0	0.0	82.0	7370743.0	320.35	47.55860699	-122.3332277
NonResidential	Retail Store	49	1.0	1.0	0	Retail Store	65425.0	Retail Store	0.0	0.0	76.0	2721646.0	32.75	47.52131741	-122.3668974
NonResidential	Retail Store	50	1.0	1.0	0	Retail Store	67782.0	Retail Store	0.0	0.0	31.0	9560965.0	368.63	47.52131741	-122.3668974
SPS-District K-12	K-12 School	5	1.0	2.0	0	K-12 School	367884.0	K-12 School	0.0	0.0	93.0	12263687.0	271.32	47.52967421	-122.3666556
SPS-District K-12	K-12 School	57	1.0	1.0	0	K-12 School	46797.0	K-12 School	0.0	0.0	86.0	1911611.0	62.2	47.51791397	-122.3706774
SPS-District K-12	K-12 School	52	1.0	3.0	0	K-12 School	136188.0	K-12 School	0.0	0.0	67.0	5436057.0	178.5	47.59792434	-122.3039472
NonResidential	Other	42	1.0	3.0	0	Other	56000.0	Other	0.0	0.0	79.2	1755264.0	53.61	47.67771413	-122.3962337
SPS-District K-12	K-12 School	11	1.0	2.0	0	K-12 School	67371.0	K-12 School	0.0	0.0	92.0	2075833.0	42.8	47.54197311	-122.27677917
NonResidential	Self-Storage Facility	46	1.0	2.0	0	Self-Storage Facility	52088.0	Self-Storage Facility	0.0	0.0	52.2	1186800.0	39.54	47.54506084	-122.3773622
SPS-District K-12	K-12 School	5	1.0	3.0	0	K-12 School	127776.0	K-12 School	0.0	0.0	81.0	4213726.0	56.96	47.6572102	-122.3375797
NonResidential	Hotel	17	1.0	5.0	30000	Hotel	123920.0	Parking	30000.0	0.0	82.0	8964061.0	289.43	47.62970427	-122.3290596
Nonresidential COS	Other	115	1.0	1.0	0	Museum	43000.0	Museum	0.0	0.0	31.0	7338511.0	221.62	47.62759406	-122.3366092
Nonresidential COS	Non-Refrigerated Warehouse	89	1.0	2.0	0	Non-Refrigerated Warehouse	42345.0	Residence Hall/Dormitory	5000.0	4730.0	77.4	715446.0	4.99	47.62651741	-122.340841
NonResidential	Hotel	17	1.0	7.0	54341	Hotel	141591.0	Hotel	0.0	0.0	77.0	10735331.0	314.26	47.62754003	-122.3405732
SPS-District K-12	K-12 School	16	1.0	2.0	0	K-12 School	67235.0	K-12 School	0.0	0.0	85.0	2364351.0	44.06	47.68367156	-122.3729249
Nonresidential COS	Small- and Mid-Sized Office	58	1.0	2.0	0	Office	57968.0	Distribution Center	32881.0	11850.0	40.0	9146727.0	166.73	47.69975953	-122.340249
SPS-District K-12	K-12 School	24	1.0	3.0	0	K-12 School	59014.0	K-12 School	0.0	0.0	97.0	1362993.0	17.86	47.54026729	-122.3884963
NonResidential	Hotel	47	1.0	4.0	0	Hotel	64893.0	Hotel	0.0	0.0	73.0	6056481.0	206.3	47.70923419	-122.3323693
SPS-District K-12	K-12 School	26	1.0	2.0	0	K-12 School	55480.0	K-12 School	0.0	0.0	98.0	1227290.0	8.56	47.69820046	-122.321085
SPS-District K-12	K-12 School	90	1.0	1.0	0	K-12 School	70762.0	K-12 School	0.0	0.0	95.0	2933003.0	138.96	47.53836703	-122.2964274
NonResidential	Small- and Mid-Sized Office	115	1.0	3.0	0	Office	34416.0	Self-Storage Facility	7672.0	2470.0	83.0	1527917.0	26.55	47.601058	-122.335182
NonResidential	Other	16	1.0	6.0	327680	Other-Entertainment/Public Assembly	1585960.0	Parking	0.0	0.0	82.0	59991984.0	834.11	47.59435403	-122.3301787
Nonresidential COS	Distribution Center	91	1.0	2.0	0	Distribution Center	117476.0	Office	37321.0	25543.0	64.0	9974370.0	98.95	47.57125847	-122.331498
Nonresidential COS	Non-Refrigerated Warehouse	50	1.0	2.0	0	Non-Refrigerated Warehouse	40831.0	Other-Services	16735.0	11533.0	63.6	4116805.0	28.7	47.57125847	-122.331498
